congress,chamber,rollnumber,icpsr,cast_code,prob
82,Senate,2,8708,1,
82,Senate,2,8764,1,
82,Senate,2,8883,1,
82,Senate,2,9152,1,
82,Senate,2,9374,1,
82,Senate,2,9401,1,
82,Senate,2,9604,3,
82,Senate,2,9865,1,
82,Senate,2,9930,1,
82,Senate,2,9998,1,
82,Senate,2,10110,1,
82,Senate,2,10163,1,
82,Senate,2,10450,1,
82,Senate,2,96738,1,
82,Senate,3,52,6,99.1
82,Senate,3,165,7,93.4
82,Senate,3,645,6,86.8
82,Senate,3,659,6,100.0
82,Senate,3,1021,6,95.0
82,Senate,3,1024,6,81.3
82,Senate,3,1027,7,92.0
82,Senate,3,1338,6,77.4
82,Senate,3,1341,6,89.2
82,Senate,3,1365,7,75.6
82,Senate,3,1395,7,86.7
82,Senate,3,1489,6,89.2
82,Senate,3,1510,6,94.7
82,Senate,3,1570,6,90.3
82,Senate,3,1659,1,41.0
82,Senate,3,1678,7,84.7
82,Senate,3,1831,6,81.6
82,Senate,3,1986,6,70.5
82,Senate,3,2066,1,10.1
82,Senate,3,2609,7,94.4
82,Senate,3,2691,6,100.0
82,Senate,3,2745,4,99.4
82,Senate,3,2803,6,83.0
82,Senate,3,2822,1,50.1
82,Senate,3,2838,1,26.5
82,Senate,3,2901,6,42.6
82,Senate,3,3110,6,96.5
82,Senate,3,3206,4,98.9
82,Senate,3,3349,6,81.3
82,Senate,3,3388,7,19.7
82,Senate,3,3536,1,12.8
82,Senate,3,3603,7,87.5
82,Senate,3,3783,6,98.5
82,Senate,3,4227,7,87.9
82,Senate,3,4321,6,98.2
82,Senate,3,4328,6,98.7
82,Senate,3,4382,6,90.3
82,Senate,3,4418,6,38.5
82,Senate,3,4483,6,75.5
82,Senate,3,4520,6,74.7
82,Senate,3,4728,4,99.1
82,Senate,3,4747,6,92.4
82,Senate,3,4834,6,99.9
82,Senate,3,4922,7,75.5
82,Senate,3,4949,6,78.2
82,Senate,3,4979,7,72.9
82,Senate,3,5009,1,63.3
82,Senate,3,5122,6,77.0
82,Senate,3,5158,6,80.1
82,Senate,3,5213,7,56.0
82,Senate,3,5240,6,95.8
82,Senate,3,5343,6,96.7
82,Senate,3,5452,6,83.3
82,Senate,3,5591,6,99.9
82,Senate,3,5739,6,99.8
82,Senate,3,5767,6,44.7
82,Senate,3,5913,1,6.1
82,Senate,3,5944,1,22.1
82,Senate,3,6021,6,88.9
82,Senate,3,6107,7,46.9
82,Senate,3,6132,1,28.3
82,Senate,3,6137,6,88.9
82,Senate,3,6151,6,51.9
82,Senate,3,6242,6,54.2
82,Senate,3,6293,1,10.8
82,Senate,3,6346,7,100.0
82,Senate,3,6525,6,91.2
82,Senate,3,6597,6,85.5
82,Senate,3,6796,6,89.9
82,Senate,3,6820,6,79.1
82,Senate,3,6856,6,86.5
82,Senate,3,6939,6,97.6
82,Senate,3,7020,7,97.0
82,Senate,3,7070,4,92.1
82,Senate,3,7229,6,99.4
82,Senate,3,7958,7,66.5
82,Senate,3,8138,7,48.8
82,Senate,3,8185,6,98.2
82,Senate,3,8270,6,85.0
82,Senate,3,8593,6,61.6
82,Senate,3,8635,6,99.2
82,Senate,3,8666,6,98.5
82,Senate,3,8708,1,45.0
82,Senate,3,8764,7,49.7
82,Senate,3,8883,7,45.0
82,Senate,3,9152,6,93.9
