congress,chamber,icpsr,state_icpsr,district_code,state_abbrev,party_code,occupancy,last_means,bioname,bioguide_id,born,died,nominate_dim1,nominate_dim2,nominate_log_likelihood,nominate_geo_mean_probability,nominate_number_of_votes,nominate_number_of_errors,conditional,nokken_poole_dim1,nokken_poole_dim2
118,Senate,42102,41,0,AL,200,,,"TUBERVILLE, Thomas Hawley (Tommy)",T000278,1954.0,,0.936,-0.352,-46.89457,0.90926,493,20,,0.865,0.033
118,Senate,42300,41,0,AL,200,,,"BRITT, Katie Elizabeth",B001319,1982.0,,0.573,0.706,-37.59069,0.92615,490,13,,0.573,0.706
118,Senate,40300,81,0,AK,200,,,"MURKOWSKI, Lisa",M001153,1957.0,,0.208,-0.314,-83.60804,0.8477,506,39,,0.18,-0.321
118,Senate,41500,81,0,AK,200,,,"SULLIVAN, Daniel Scott",S001198,1964.0,,0.488,0.13,-146.57104,0.74415,496,63,,0.505,0.387
118,Senate,41905,61,0,AZ,100,,,"KELLY, Mark Edward",K000377,1964.0,,-0.216,0.255,-29.44123,0.94304,502,11,,-0.326,0.154
118,Senate,91300,61,0,AZ,328,,,"SINEMA, Kyrsten",S001191,1976.0,,-0.216,0.424,-53.77905,0.89764,498,15,,-0.216,0.424
118,Senate,20101,42,0,AR,200,,,"BOOZMAN, John",B001236,1950.0,,0.427,0.336,-62.19057,0.88604,514,21,,0.43,0.41
118,Senate,21301,42,0,AR,200,,,"COTTON, Tom",C001095,1977.0,,0.584,0.173,-60.09569,0.8876,504,24,,0.512,0.29
118,Senate,42104,71,0,CA,100,,,"PADILLA, Alejandro (Alex)",P000145,1973.0,,-0.375,-0.334,-20.3974,0.95995,499,7,,-0.318,-0.323
118,Senate,42305,71,0,CA,100,,,"BUTLER, Laphonza Romanique",B001320,1979.0,,-0.467,-0.01,-11.02282,0.96085,276,4,,-0.467,-0.01
118,Senate,49300,71,0,CA,100,,,"FEINSTEIN, Dianne",F000062,1933.0,2023.0,-0.268,-0.184,-4.04146,0.96661,119,1,,-0.432,0.037
118,Senate,40910,62,0,CO,100,,,"BENNET, Michael F.",B001267,1964.0,,-0.232,-0.159,-29.02758,0.94571,520,7,,-0.41,0.247
118,Senate,42101,62,0,CO,100,,,"HICKENLOOPER, John Wright",H000273,1952.0,,-0.244,-0.037,-20.43222,0.9608,511,5,,-0.273,0.065
118,Senate,20707,1,0,CT,100,,,"MURPHY, Christopher",M001169,1973.0,,-0.272,-0.212,-39.48322,0.92702,521,15,,-0.453,-0.308
118,Senate,41101,1,0,CT,100,,,"BLUMENTHAL, Richard",B001277,1946.0,,-0.436,-0.152,-11.51017,0.97811,520,1,,-0.432,0.058
118,Senate,15015,11,0,DE,100,,,"CARPER, Thomas Richard",C000174,1947.0,,-0.179,-0.224,-24.07746,0.95484,521,6,,-0.345,0.009
118,Senate,40916,11,0,DE,100,,,"COONS, Christopher A.",C001088,1963.0,,-0.233,-0.217,-13.70598,0.97322,505,5,,-0.33,-0.233
118,Senate,41102,43,0,FL,200,,,"RUBIO, Marco",R000595,1971.0,,0.613,-0.183,-82.49382,0.84649,495,38,,0.629,-0.234
118,Senate,41903,43,0,FL,200,,,"SCOTT, Richard Lynn (Rick)",S001217,1952.0,,0.713,-0.013,-77.39098,0.85445,492,32,,0.815,-0.239
118,Senate,42103,44,0,GA,100,,,"OSSOFF, Thomas Jonathan (Jon)",O000174,1987.0,,-0.426,0.397,-18.59833,0.9646,516,6,,-0.338,0.167
118,Senate,42105,44,0,GA,100,,,"WARNOCK, Raphael Gamaliel",W000790,1969.0,,-0.41,0.334,-10.14041,0.97992,500,1,,-0.383,0.028
118,Senate,20713,82,0,HI,100,,,"HIRONO, Mazie",H001042,1947.0,,-0.512,-0.093,-24.35702,0.9545,523,12,,-0.548,-0.108
118,Senate,41112,82,0,HI,100,,,"SCHATZ, Brian Emanuel",S001194,1972.0,,-0.444,-0.093,-11.60804,0.97767,514,3,,-0.407,0.027
118,Senate,29345,63,0,ID,200,,,"CRAPO, Michael Dean",C000880,1951.0,,0.504,0.293,-85.043,0.84126,492,41,,0.533,0.357
118,Senate,40902,63,0,ID,200,,,"RISCH, James",R000584,1943.0,,0.549,0.392,-72.7818,0.8554,466,34,,0.533,0.382
118,Senate,15021,21,0,IL,100,,,"DURBIN, Richard Joseph",D000563,1944.0,,-0.348,-0.305,-17.14794,0.96483,479,9,,-0.373,-0.324
118,Senate,21325,21,0,IL,100,,,"DUCKWORTH, Tammy",D000622,1968.0,,-0.336,0.093,-12.14062,0.97675,516,4,,-0.421,0.052
118,Senate,21133,22,0,IN,200,,,"YOUNG, Todd",Y000064,1972.0,,0.439,-0.027,-112.72613,0.80375,516,44,,0.341,0.153
118,Senate,41900,22,0,IN,200,,,"BRAUN, Michael",B001310,1954.0,,0.8,0.6,-85.33263,0.83619,477,40,,0.844,0.144
