congress,chamber,rollnumber,icpsr,cast_code,prob
82,House,1,4354,1,99.1
82,House,1,4371,6,100.0
82,House,1,4372,6,100.0
82,House,1,4373,6,100.0
82,House,1,4429,6,99.4
82,House,1,4437,6,100.0
82,House,1,4450,6,99.3
82,House,1,4482,6,99.7
82,House,1,4487,7,100.0
82,House,1,4493,6,100.0
82,House,1,4514,1,100.0
82,House,1,4537,6,97.2
82,House,1,4562,6,96.5
82,House,1,4579,7,96.8
82,House,1,4644,1,98.7
82,House,1,4720,6,78.0
82,House,1,4751,6,99.5
82,House,1,4822,1,93.5
82,House,1,4846,6,100.0
82,House,1,4851,1,99.5
82,House,1,4880,6,100.0
82,House,1,4891,1,97.8
82,House,1,4898,6,98.5
82,House,1,4911,6,100.0
82,House,1,4917,6,100.0
82,House,1,4928,6,99.2
82,House,1,4976,6,96.2
82,House,1,5020,6,100.0
82,House,1,5035,1,100.0
82,House,1,5056,1,100.0
82,House,1,5058,1,100.0
82,House,1,5071,1,98.9
82,House,1,5083,6,99.5
82,House,1,5097,1,100.0
82,House,1,5109,6,100.0
82,House,1,5110,6,100.0
82,House,1,5112,6,99.7
82,House,1,5116,6,100.0
82,House,1,5117,1,99.7
82,House,1,5136,1,99.9
82,House,1,5148,1,99.7
82,House,1,5180,1,94.9
82,House,1,5199,1,100.0
82,House,1,5208,1,100.0
82,House,1,5217,6,100.0
82,House,1,5235,6,99.5
82,House,1,5236,1,99.9
82,House,1,5255,1,100.0
82,House,1,5301,1,99.9
82,House,1,5317,1,100.0
82,House,1,5326,1,100.0
82,House,1,5447,1,98.3
82,House,1,5459,1,100.0
82,House,1,5471,1,98.9
82,House,1,5476,1,99.1
82,House,1,5488,6,100.0
82,House,1,5552,6,99.6
82,House,1,5617,1,100.0
82,House,1,5671,1,98.7
82,House,1,5803,6,99.5
82,House,1,5826,1,99.7
82,House,1,5847,1,100.0
82,House,1,5880,1,100.0
82,House,1,5884,1,99.8
82,House,1,5885,6,99.5
82,House,1,5900,1,100.0
82,House,1,5905,1,100.0
82,House,1,5924,1,100.0
82,House,1,5967,7,100.0
82,House,1,5998,1,99.5
82,House,1,6033,8,100.0
82,House,1,6039,6,100.0
82,House,1,6061,6,100.0
82,House,1,6134,1,100.0
82,House,1,6169,6,100.0
82,House,1,6177,1,99.3
82,House,1,6204,6,100.0
82,House,1,6220,7,99.8
82,House,1,6259,1,98.6
82,House,1,6262,6,100.0
82,House,1,6267,1,98.5
82,House,1,6317,1,96.9
82,House,1,6353,1,100.0
82,House,1,6361,1,99.9
82,House,1,6389,6,100.0
82,House,1,6399,6,99.6
82,House,1,6437,6,95.2
82,House,1,6474,6,99.8
82,House,1,6481,6,100.0
82,House,1,6483,1,100.0
82,House,1,6516,6,100.0
82,House,1,6532,1,100.0
82,House,1,6561,1,99.9
82,House,1,6664,6,100.0
82,House,1,6685,1,100.0
82,House,1,6718,1,100.0
82,House,1,6721,1,100.0
82,House,1,6745,6,99.9
82,House,1,6765,1,100.0
82,House,1,6792,1,100.0
82,House,1,6795,6,100.0
82,House,1,6799,1,100.0
82,House,1,6809,1,99.7
82,House,1,6823,6,100.0
82,House,1,6826,1,100.0
82,House,1,6863,6,100.0
82,House,1,6922,6,99.7
82,House,1,6955,6,98.2
82,House,1,6958,1,100.0
82,House,1,6998,1,97.6
82,House,1,7004,1,98.2
82,House,1,7044,6,99.4
82,House,1,7046,7,72.7
82,House,1,7078,1,99.9
82,House,1,7102,6,100.0
82,House,1,7114,1,99.2
82,House,1,7228,1,100.0
82,House,1,7232,1,100.0
82,House,1,7234,1,98.4
82,House,1,7245,6,99.9
82,House,1,7343,1,100.0
82,House,1,7408,1,95.0
82,House,1,7415,6,100.0
82,House,1,7430,1,99.8
82,House,1,7498,1,100.0
82,House,1,7506,1,94.2
82,House,1,7551,6,100.0
82,House,1,7566,6,100.0
82,House,1,7568,1,99.8
82,House,1,7605,1,100.0
82,House,1,7610,1,100.0
82,House,1,7622,1,100.0
82,House,1,7637,6,100.0
82,House,1,7680,1,89.6
82,House,1,7682,1,98.2
82,House,1,7687,6,99.9
82,House,1,7695,1,100.0
82,House,1,7702,1,99.9
82,House,1,7731,1,99.8
82,House,1,7753,8,100.0
82,House,1,7771,8,N/A
82,House,1,7774,1,99.9
82,House,1,7777,6,98.1
82,House,1,7779,6,100.0
82,House,1,7781,6,100.0
82,House,1,7799,6,100.0
82,House,1,7806,1,99.3
82,House,1,7844,1,99.8
82,House,1,7847,1,91.3
82,House,1,7869,1,100.0
82,House,1,7901,6,100.0
82,House,1,7908,1,100.0
82,House,1,7925,1,100.0
82,House,1,7954,1,100.0
82,House,1,7969,1,99.7
82,House,1,8010,1,99.5
82,House,1,8021,1,99.8
82,House,1,8023,1,99.9
82,House,1,8024,6,99.9
82,House,1,8035,1,100.0
82,House,1,8049,1,100.0
82,House,1,8050,1,100.0
82,House,1,8163,1,98.9
82,House,1,8170,6,100.0
82,House,1,8177,6,100.0
82,House,1,8219,1,98.6
82,House,1,8247,6,95.6
82,House,1,8283,6,99.9
82,House,1,8299,6,100.0
82,House,1,8301,6,100.0
82,House,1,8318,6,100.0
82,House,1,8322,6,100.0
82,House,1,8341,1,85.9
82,House,1,8346,6,99.8
82,House,1,8392,6,100.0
82,House,1,8426,6,99.9
82,House,1,8437,1,100.0
82,House,1,8444,1,99.9
82,House,1,8484,6,99.8
82,House,1,8506,1,99.9
82,House,1,8507,1,100.0
82,House,1,8532,6,100.0
82,House,1,8533,6,99.2
82,House,1,8556,6,100.0
82,House,1,8616,1,100.0
82,House,1,8636,1,99.4
82,House,1,8663,6,100.0
82,House,1,8709,6,97.1
82,House,1,8778,1,100.0
82,House,1,8814,6,99.2
82,House,1,8824,1,100.0
82,House,1,8839,1,99.2
82,House,1,8866,1,100.0
82,House,1,8879,6,95.7
82,House,1,8949,1,99.9
82,House,1,8960,6,97.1
82,House,1,9071,1,99.7
82,House,1,9099,1,100.0
82,House,1,9144,6,100.0
82,House,1,9148,1,100.0
82,House,1,9168,6,99.5
82,House,1,9203,6,100.0
82,House,1,9241,1,100.0
82,House,1,9284,1,100.0
82,House,1,9320,1,100.0
82,House,1,9338,6,100.0
82,House,1,9356,1,100.0
82,House,1,9409,6,98.4
82,House,1,9427,6,100.0
82,House,1,9473,1,100.0
82,House,1,9561,1,100.0
82,House,1,9584,6,100.0
82,House,1,9627,6,99.9
82,House,1,9645,6,99.8
82,House,1,9653,6,100.0
82,House,1,9657,6,100.0
82,House,1,9677,1,100.0
82,House,1,9688,6,100.0
82,House,1,9693,6,100.0
82,House,1,9791,1,97.5
82,House,1,9917,6,100.0
82,House,1,9927,1,99.9
82,House,1,9956,6,100.0
82,House,1,9978,6,100.0
82,House,1,9996,1,98.7
82,House,1,10002,1,100.0
82,House,1,10075,1,100.0
82,House,1,10085,1,100.0
82,House,1,10091,6,99.7
82,House,1,10092,1,100.0
82,House,1,10095,6,100.0
82,House,1,10162,1,97.0
82,House,1,10191,6,100.0
82,House,1,10201,1,100.0
82,House,1,10212,6,100.0
82,House,1,10244,1,98.8
82,House,1,10279,1,99.5
82,House,1,10299,6,78.3
82,House,1,10303,6,100.0
82,House,1,10314,6,99.4
82,House,1,10329,1,99.5
82,House,1,10330,6,100.0
82,House,1,10348,6,96.3
82,House,1,10421,1,97.6
82,House,1,10431,1,99.8
82,House,1,10463,1,100.0
82,House,1,99900,9,99.9
82,House,2,1,6,96.6
82,House,2,2,6,99.7
82,House,2,13,6,99.5
82,House,2,18,6,96.6
82,House,2,46,1,99.9
82,House,2,62,1,91.9
82,House,2,100,6,84.9
82,House,2,116,6,73.3
82,House,2,121,6,98.4
82,House,2,158,1,1.4
82,House,2,173,6,94.3
82,House,2,188,6,99.1
82,House,2,195,6,98.1
82,House,2,205,1,99.9
82,House,2,226,6,94.4
82,House,2,235,6,96.1
82,House,2,275,1,88.3
82,House,2,291,6,66.3
82,House,2,310,1,37.2
82,House,2,339,1,92.5
82,House,2,364,6,81.5
82,House,2,431,6,98.0
82,House,2,433,1,17.4
82,House,2,465,1,99.8
82,House,2,516,6,16.2
82,House,2,518,6,66.3
82,House,2,520,6,73.2
82,House,2,546,6,56.6
82,House,2,550,6,98.0
82,House,2,567,1,47.3
82,House,2,590,6,98.8
82,House,2,621,1,65.1
82,House,2,633,6,66.9
82,House,2,639,1,15.3
82,House,2,660,1,52.1
82,House,2,672,6,99.3
82,House,2,680,6,98.5
82,House,2,731,6,91.5
82,House,2,758,6,86.7
82,House,2,789,1,99.8
82,House,2,823,6,55.5
82,House,2,824,6,13.4
82,House,2,835,1,99.8
82,House,2,837,1,26.2
82,House,2,846,6,88.7
82,House,2,869,1,97.0
82,House,2,891,6,98.1
82,House,2,937,6,89.5
82,House,2,971,6,95.3
82,House,2,986,6,97.2
82,House,2,998,1,99.4
82,House,2,1000,6,94.6
82,House,2,1081,1,11.5
82,House,2,1104,6,98.3
82,House,2,1130,6,81.3
82,House,2,1152,6,93.2
82,House,2,1181,6,87.3
82,House,2,1184,1,99.8
82,House,2,1205,1,99.9
82,House,2,1215,6,99.8
82,House,2,1218,6,99.4
82,House,2,1254,1,68.8
82,House,2,1282,6,98.9
82,House,2,1300,1,97.4
82,House,2,1316,6,86.1
82,House,2,1324,6,98.6
82,House,2,1328,6,92.5
82,House,2,1340,6,70.9
82,House,2,1369,1,99.9
82,House,2,1371,6,94.6
82,House,2,1439,6,83.5
82,House,2,1476,1,94.0
82,House,2,1479,1,51.6
82,House,2,1512,6,96.3
82,House,2,1517,1,99.4
82,House,2,1569,1,98.6
82,House,2,1611,1,100.0
82,House,2,1676,6,90.5
82,House,2,1682,6,48.3
82,House,2,1684,6,86.7
82,House,2,1702,6,92.5
82,House,2,1719,1,100.0
82,House,2,1722,6,96.7
82,House,2,1829,1,99.8
82,House,2,1839,6,99.7
82,House,2,1920,6,93.6
82,House,2,1931,6,96.3
82,House,2,1952,6,99.5
82,House,2,1960,1,78.7
82,House,2,2032,6,73.1
82,House,2,2049,1,33.7
82,House,2,2065,1,67.6
82,House,2,2087,6,95.6
82,House,2,2089,6,56.6
82,House,2,2111,6,97.6
82,House,2,2159,6,99.9
82,House,2,2227,6,91.5
82,House,2,2256,6,84.1
82,House,2,2267,6,99.6
82,House,2,2275,6,91.2
82,House,2,2298,6,90.5
82,House,2,2376,6,62.3
82,House,2,2383,6,98.1
82,House,2,2389,6,99.7
82,House,2,2433,1,99.9
82,House,2,2448,1,80.3
82,House,2,2468,6,54.5
82,House,2,2476,1,95.3
82,House,2,2490,6,48.8
82,House,2,2507,6,79.6
82,House,2,2517,1,98.5
82,House,2,2531,6,83.3
82,House,2,2538,6,97.7
82,House,2,2604,1,99.9
82,House,2,2646,1,100.0
82,House,2,2647,6,97.8
82,House,2,2653,6,96.7
82,House,2,2660,1,98.7
82,House,2,2662,1,81.0
82,House,2,2672,6,98.0
82,House,2,2684,6,77.8
82,House,2,2713,1,98.7
82,House,2,2791,6,85.2
82,House,2,2827,7,86.6
82,House,2,2833,1,99.9
82,House,2,2909,6,26.8
82,House,2,2935,6,94.7
82,House,2,2948,6,90.9
82,House,2,2965,1,90.3
82,House,2,3034,1,65.7
82,House,2,3054,1,84.5
82,House,2,3092,1,97.9
82,House,2,3096,6,99.4
82,House,2,3105,6,67.7
82,House,2,3114,6,47.7
82,House,2,3149,1,100.0
82,House,2,3171,6,99.4
82,House,2,3224,1,96.8
82,House,2,3246,1,99.8
82,House,2,3264,1,99.7
82,House,2,3268,1,16.5
82,House,2,3286,6,97.7
82,House,2,3346,1,44.1
82,House,2,3386,1,28.4
82,House,2,3409,1,79.0
82,House,2,3415,1,99.5
82,House,2,3446,6,83.5
82,House,2,3480,1,95.1
82,House,2,3499,6,86.6
82,House,2,3506,6,99.0
82,House,2,3510,6,90.8
82,House,2,3534,6,96.0
82,House,2,3649,1,5.6
82,House,2,3682,6,83.7
82,House,2,3700,1,99.9
82,House,2,3704,1,85.5
82,House,2,3719,6,98.8
82,House,2,3737,6,92.6
82,House,2,3744,1,100.0
82,House,2,3752,1,99.2
82,House,2,3754,6,92.6
82,House,2,3785,1,100.0
82,House,2,3809,6,60.2
82,House,2,3853,1,0.4
82,House,2,3888,6,98.0
82,House,2,3902,6,77.7
82,House,2,3924,6,81.1
82,House,2,3937,1,38.6
82,House,2,3946,6,83.2
82,House,2,3963,6,89.1
82,House,2,4031,1,45.9
82,House,2,4050,6,91.4
82,House,2,4064,6,78.8
82,House,2,4110,6,81.9
82,House,2,4125,6,99.2
82,House,2,4139,6,97.8
82,House,2,4142,1,99.5
82,House,2,4165,6,97.7
